entity_id,entity_cd,entity_name,"2022 local optional percentage","2022 fixed hs exemption","2022 tax rate"
1121,8J,"WMSN-TR CO WCID NO 1G",,,
1397702,5M,"LAZY NINE MUD NO 1B",,,
1329420,1K,"BELVEDERE MUD",,,
1093,6I,"WEST TRAVIS CO MUD NO 7",,,
1015,1H,"COTTONWD CREEK MUD NO 1",,,
1397705,5R,"LAZY NINE MUD NO 1E",,,
1807970,2T,"TRAVIS CO MUD NO 25",,,
1120,8I,"WMSN-TR CO WCID NO 1F",,,
1558193,9M,"SOUTHEAST TRAVIS CO MUD NO 1",,,
1397704,5P,"LAZY NINE MUD NO 1D",,,
1857921,5T,"ROSE HILL PID",,,
1113,78,"NW TR CO RD DIST 3 GLDN TRI",,,
1373281,7M,"SUNFIELD MUD NO 3",,,
1397701,5L,"LAZY NINE MUD NO 1A",,,
1671480,2P,"ESTANCIA HILL COUNTRY PID",,,
1879798,9T,"NEW SWEDEN MUD NO 1",,,
1607163,SH,"SEAHOLM TIF",,,
1138,98,"ACC DIST - WMSN CO",,,
1636028,9R,"SOUTHEAST TRAVIS CO MUD NO 4",,,
1558195,9N,"SOUTHEAST TRAVIS CO MUD NO 2",,,
1397703,5N,"LAZY NINE MUD NO 1C",,,
1698761,1R,"TESSERA ON LAKE TRAVIS PID (MIA)",,,
1772331,1T,"TESSERA ON LAKE TRAVIS PID (IMP AREA #1)",,,
1772333,1U,"TESSERA ON LAKE TRAVIS PID (IMP AREA #2)",,,
1082,54,"SW TRAVIS CO RD DIST NO 1",,,
1772334,WH,"WILDHORSE PID (IMP AREA #1)",,,
1150,67,"CIRCLE C MUD NO 3",,,
1095,60,"VILLAGE OF GARFIELD",,,
1890621,10B,"MANOR HEIGHTS PID (IMP AREA #1)",,,
1081,53,"TRAVIS CO RFP DIST NO 6",,,
1070,46,"TR CO RFP DIST NO 3",,,
1028,2C,"DOWNTOWN PUB IMP DIST",0,,0
