File,Field,OutputField,Description
PROP.TXT,jan1_owner_id,,"January 1 Owner ID"
PROP.TXT,jan1_owner_name,,"January 1 Owner Name"
PROP.TXT,jan1_addr_line1,,"January 1 Address Line 1"
PROP.TXT,jan1_addr_line2,,"January 1 Address Line 2"
PROP.TXT,jan1_addr_line3,,"January 1 Address Line 3"
PROP.TXT,jan1_addr_city,,"January 1 Address City"
PROP.TXT,jan1_addr_state,,"January 1 Address State"
PROP.TXT,jan1_addr_country,,"January 1 Address Country"
PROP.TXT,jan1_addr_zip,,"January 1 Address Zip  (Zip Only)"
PROP.TXT,jan1_addr_zip_cass,,"January 1 Address Zip Cass (Cass Only)"
PROP.TXT,jan1_addr_zip_rt,,"January 1 Address Zip  Route (Route Only)"
PROP.TXT,jan1_confidential_flag,,"January 1 Owner Confidential Flag ('T' or 'F')"
PROP.TXT,jan1_address_suppress_flag,,"January 1 Owner  Address Suppression Flag ('T' or 'F')"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,jan1_ml_deliverable,,"January 1 Owner Address  Y = deliverable address, N = undeliverable address"
PROP.TXT,hs_exempt,hs_exempt,"Homestead Exemption    (‘T’ or ‘F’)  ‘T’ indicates that the property has the exemption"
PROP.TXT,ov65_exempt,ov65_exempt,"Over 65 Exemption (‘T’ or ‘F’)"
PROP.TXT,ov65_prorate_begin,,"date the exemption began – used for proration"
PROP.TXT,ov65_prorate_end,,"date the exemption ended – used for proration"
PROP.TXT,ov65s_exempt,ov65s_exempt,"Over 65 Surviving Spouse (‘T’ or ‘F’)"
PROP.TXT,dp_exempt,dp_exempt,"Disabled Person (‘T’ or ‘F’)"
PROP.TXT,dv1_exempt,,"Disabled Veteran - 10% to 30%  (‘T’ or ‘F’)"
PROP.TXT,dv1s_exempt,,"Disabled Veteran - 10% to 30%  Surviving Spouse"
PROP.TXT,dv2_exempt,,"Disabled Veteran - 31% to 50%  (‘T’ or ‘F’)"
PROP.TXT,dv2s_exempt,,"Disabled Veteran - 31% to 50% Surviving Spouse"
PROP.TXT,dv3_exempt,,"Disabled Veteran - 51% to 70% ('T' or 'F')"
PROP.TXT,dv3s_exempt,,"Disabled Veteran - 51% to 70% Surviving Spouse"
PROP.TXT,dv4_exempt,,"Disabled Veteran - 71% to 100%  (‘T’ or ‘F’)"
PROP.TXT,dv4s_exempt,,"Disabled Veteran - 71% to 100% Surviving Spouse"
PROP.TXT,ex_exempt,,"EX (Total Exemption) (‘T’ or ‘F’)"
PROP.TXT,ex_prorate_begin,,"Date the exemption began – used for proration"
PROP.TXT,ex_prorate_end,,"Date the exemption ended – used for proration"
PROP.TXT,lve_exempt,,"Leased vehicle exemption"
PROP.TXT,ab_exempt,,"Abatement (‘T’ or ‘F’)"
PROP.TXT,en_exempt,,"Energy  Exemption (‘T’ or ‘F’)"
PROP.TXT,fr_exempt,,"Freeport Exemption (‘T’ or ‘F’)"
PROP.TXT,ht_exempt,,"Historical Exemption (‘T’ or ‘F’)"
PROP.TXT,pro_exempt,,"Prorated Exemption (‘T’ or ‘F’)"
PROP.TXT,pc_exempt,,"Pollution Control Exemption (‘T’ or ‘F’)"
PROP.TXT,so_exempt,,"Solar Exemption (‘T’ or ‘F’)"
PROP.TXT,ex366_exempt,,"Exemption for properties under $500 ('T' or 'F')"
PROP.TXT,ch_exempt,,"Charitable Exemption ('T' or 'F')"
PROP.TXT,imprv_state_cd,imprv_state_cd,"State Code that is on the improvements"
PROP.TXT,land_state_cd,land_state_cd,"State Code that is on the land"
PROP.TXT,personal_state_cd,,"State Code that is on the personal property"
PROP.TXT,mineral_state_cd,,"State Code that is on the mineral"
PROP.TXT,land_acres,land_acres,"Sum of the acres based on land segments"
PROP.TXT,entity_agent_id,,"Agent for Entity Documents (I.E. Statements)  If id <> 0, then will contain information for the agent that is to receive entity documents"
PROP.TXT,entity_agent_name,,"Entity Agent Name"
PROP.TXT,entity_agent_addr_line1,,"Entity Agent Address Line 1"
PROP.TXT,entity_agent_addr_line2,,"Entity Agent Address Line 2"
PROP.TXT,entity_agent_addr_line3,,"Entity Agent Address Line 3"
PROP.TXT,entity_agent_city,,"Entity Agent Address City"
PROP.TXT,entity_agent_state,,"Entity Agent Address State"
PROP.TXT,entity_agent_country,,"Entity Agent Address Country"
PROP.TXT,entity_agent_zip,,"Entity Agent Address Zip (Zip Only)"
PROP.TXT,entity_agent_cass,,"Entity Agent Address Zip Cass (Cass Only)"
PROP.TXT,entity_agent_rt,,"Entity Agent Address Zip Route (Route Only)"
PROP.TXT,filler,,Filler
PROP.TXT,ca_agent_id,,"Agent for Chief Appraiser Documents (I.E. Appraisal Notice)   If id <> 0, then will contain information for the agent that is to receive chief appraiser documents"
PROP.TXT,ca_agent_name,,"Chief Appraiser Agent Name"
PROP.TXT,ca_agent_addr_line1,,"Chief Appraiser Address Line 1"
PROP.TXT,ca_agent_addr_line2,,"Chief Appraiser Address Line 2"
PROP.TXT,ca_agent_addr_line3,,"Chief Appraiser Address Line 3"
PROP.TXT,ca_agent_city,,"Chief Appraiser Address City"
PROP.TXT,ca_agent_state,,"Chief Appraiser Address State"
PROP.TXT,ca_agent_country,,"Chief Appraiser Address Country"
PROP.TXT,ca_agent_zip,,"Chief Appraiser Address Zip (Zip Only)"
PROP.TXT,ca_agent_zip_cass,,"Chief Appraiser Address Zip Cass (Cass Only)"
PROP.TXT,ca_agent_zip_rt,,"Chief Appraiser Address Zip Route (Route Only)"
PROP.TXT,filler,,Filler
PROP.TXT,arb_agent_id,,"Agent for ARB Documents (I.E. ARB Notice)  If id <> 0, then will contain information for the agent that is to receive arb documents"
PROP.TXT,arb_agent_name,,"ARB Agent Name"
PROP.TXT,arb_agent_addr_line1,,"ARB Agent Line 1"
PROP.TXT,arb_agent_addr_line2,,"ARB Agent Line 2"
PROP.TXT,arb_agent_addr_line3,,"ARB Agent Line 3"
PROP.TXT,arb_agent_city,,"ARB Agent City"
PROP.TXT,arb_agent_state,,"ARB Agent State"
PROP.TXT,arb_agent_country,,"ARB Agent County"
PROP.TXT,arb_agent_zip,,"ARB Agent Zip (Zip Only)"
PROP.TXT,arb_agent_zip_cass,,"ARB Agent Zip Cass (Cass Only)"
PROP.TXT,arb_agent_zip_rt,,"ARB Agent Zip Route (Route Only)"
PROP.TXT,ownership_pct,ownership_pct,"Property Ownership Pct - format is decimal(5,2) example 100.00, 54.55, etc"
PROP.TXT,mineral_type_of_int,,"Mineral Interest Type"
PROP.TXT,mineral_int_pct,,"Mineral Interest Percent (10 Decimals)"
PROP.TXT,productivity_use_code,,"Productivity Use Code"
PROP.TXT,filler,,filler
PROP.TXT,timber_78_market,,"1978 timber market value"
PROP.TXT,ag_late_loss,,"Late ag loss"
PROP.TXT,late_freeport_penalty,,"Late freeport penalty"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,dba,,"Doing business as"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,market_value,market_value,"Property market value"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,filler,,"Not In Use (OV65 Deferral Date in previous version)"
PROP.TXT,filler,,"Not In Use (DP Deferral Date in previous version)"
PROP.TXT,ref_id1,,"Property Reference ID 1"
PROP.TXT,ref_id2,,"Property Reference ID 2"
PROP.TXT,situs_num,situs_num,"Situs Number"
PROP.TXT,situs_unit,situs_unit,"Situs Unit #"
PROP.TXT,appr_owner_id,,"Current Appraisal Owner ID"
PROP.TXT,appr_owner_name,,"Current Appraisal Owner Name"
PROP.TXT,appr_addr_line1,,"Current Appraisal Address Line 1"
PROP.TXT,appr_addr_line2,,"Current Appraisal Address Line 2"
PROP.TXT,appr_addr_line3,,"Current Appraisal Address Line 3"
PROP.TXT,appr_addr_city,,"Current Appraisal Address City"
PROP.TXT,appr_addr_state,,"Current Appraisal Address State"
PROP.TXT,appr_addr_country,,"Current Appraisal Address Country"
PROP.TXT,appr_addr_zip,,"Current Appraisal Address Zip (Zip Only)"
PROP.TXT,appr_addr_zip_cass,,"Current Appraisal Address Zip Cass (Cass Only)"
PROP.TXT,appr_addr_zip_cass_route,,"Current Appraisal Address Zip Rt (Route Only)"
PROP.TXT,appr_ml_deliverable,,"Current Appraisal Owner Address  Y = deliverable address  N = undeliverable address"
PROP.TXT,appr_confidential_flag,,"Current Appraisal Owner Confidential Flag ('T' or 'F')"
PROP.TXT,appr_address_suppress_flag,,"Current Appraisal Owner   Address Suppression Flag ('T' or 'F')"
PROP.TXT,appr_confidential_name,,"Current Appraisal Owner Confidential Name"
PROP.TXT,py_confidential_name,,"Property Year Owner Confidential Name"
PROP.TXT,jan1_confidential_name,,"Jan 1 Owner Confidential Name"
PROP.TXT,filler,,"Not In Use (SIC Code moved to end of file due to length change)"
PROP.TXT,rendition_filed,,"Rendition Filed ('T' or 'F')"
PROP.TXT,rendition_date,,"Rendition Filed Date"
PROP.TXT,rendition_penalty,,"If > 0, indicates that a Rendition Penalty should be calculated."
PROP.TXT,rendition_penalty_date_paid,,"Rendition 10% Penalty Date Paid"
PROP.TXT,rendition_fraud_penalty,,"Rendition Fraud Penalty"
PROP.TXT,rendition_fraud_penalty_date_paid,,"Rendition Fraud Penalty Date Paid"
PROP.TXT,filler,,"Not In Use"
PROP.TXT,entities,,"Entities list"
PROP.TXT,eco_exempt,,"eco exemption"
PROP.TXT,dataset_id,,"Unique number that identifies this export"
PROP.TXT,deed_num,,"Deed Number"
PROP.TXT,chodo_exempt,,"Exemption for charitable organizations providing low-income housing ('T' or 'F')"
PROP.TXT,local_option_pct_only_flag_hs,,"Local option flag for Homesite Percentage ('T' or 'F')"
PROP.TXT,local_option_pct_only_flag_ov65,,"Local option flag for OV65 exemption ('T' or 'F')"
PROP.TXT,local_option_pct_only_flag_ov65s,,"Local option flag for OV65S exemption ('T' or 'F')"
PROP.TXT,local_option_pct_only_flag_dp,,"Local option flag for DP exemption ('T' or 'F')"
PROP.TXT,freeze_only_flag_ov65,,"Freeze only flag for OV65 exemption ('T' or 'F')"
PROP.TXT,freeze_only_flag_ov65s,,"Freeze only flag for OV65S exemption ('T' or 'F')"
PROP.TXT,freeze_only_flag_dp,,"Freeze only flag for DP exemption ('T' or 'F')"
PROP.TXT,apply_percent_exemption_flag,,"Apply percent exemption flag ('T' or 'F')"
PROP.TXT,exemption_percentage,,"Exemption percentage (string representing a floating point number)"
PROP.TXT,vit_flag,,"VIT flag; 'T' if property is VIT, otherwise 'F'"
PROP.TXT,lih_exempt,,"Exemption for charitable organizations providing low-income housing with volunteer labor ('T' or 'F')"
PROP.TXT,git_exempt,,"Goods in Transit Exemption (‘T’ or ‘F’)"
PROP.TXT,dps_exempt,,"Disabled Person - Surviving Spouse (‘T’ or ‘F’)"
PROP.TXT,filler,,"Not In Use (DPS Deferral Date in previous version)"
PROP.TXT,local_option_pct_only_flag_dps,,"Local option flag for DPS exemption ('T' or 'F')"
PROP.TXT,freeze_only_flag_dps,,"Freeze only flag for DPS exemption ('T' or 'F')"
PROP.TXT,dvhs_exempt,,"Disabled Veteran Homestead - 100% ('T' or 'F')"
PROP.TXT,hs_qualify_yr,hs_qualify_yr,"Qualify Year for HS exemption"
PROP.TXT,ov65_qualify_yr,ov65_qualify_yr,"Qualify Year for OV65 exemption"
PROP.TXT,ov65s_qualify_yr,ov65s_qualify_yr,"Qualify Year for OV65S exemption"
PROP.TXT,dp_qualify_yr,,"Qualify Year for DP exemption"
PROP.TXT,dps_qualify_yr,,"Qualify Year for DPS exemption"
PROP.TXT,dv1_qualify_yr,,"Qualify Year for DV1 exemption"
PROP.TXT,dv1s_qualify_yr,,"Qualify Year for DV1S exemption"
PROP.TXT,dv2_qualify_yr,,"Qualify Year for DV2 exemption"
PROP.TXT,dv2s_qualify_yr,,"Qualify Year for DV2S exemption"
PROP.TXT,dv3_qualify_yr,,"Qualify Year for DV3 exemption"
PROP.TXT,dv3s_qualify_yr,,"Qualify Year for DV3S exemption"
PROP.TXT,dv4_qualify_yr,,"Qualify Year for DV4 exemption"
PROP.TXT,dv4s_qualify_yr,,"Qualify Year for DV4S exemption"
PROP.TXT,dvhs_qualify_yr,,"Qualify Year for DVHS exemption"
PROP.TXT,ex_qualify_yr,,"Qualify Year for EX exemption"
PROP.TXT,ab_qualify_yr,,"Qualify Year for AB exemption"
PROP.TXT,en_qualify_yr,,"Qualify Year for EN exemption"
PROP.TXT,fr_qualify_yr,,"Qualify Year for FR exemption"
PROP.TXT,ht_qualify_yr,,"Qualify Year for HT exemption"
PROP.TXT,pro_qualify_yr,,"Qualify Year for PRO exemption"
PROP.TXT,pc_qualify_yr,,"Qualify Year for PC exemption"
PROP.TXT,so_qualify_yr,,"Qualify Year for SO exemption"
PROP.TXT,ex366_qualify_yr,,"Qualify Year for EX366 exemption"
PROP.TXT,ch_qualify_yr,,"Qualify Year for CH exemption"
PROP.TXT,eco_qualify_yr,,"Qualify Year for ECO exemption"
PROP.TXT,chodo_qualify_yr,,"Qualify Year for CHODO exemption"
PROP.TXT,lih_qualify_yr,,"Qualify Year for LIH exemption"
PROP.TXT,git_qualify_yr,,"Qualify Year for GIT exemption"
PROP.TXT,mortgage_addr_line1,,"Mortgage Company Address Line 1"
PROP.TXT,mortgage_addr_line2,,"Mortgage Company Address Line 2"
PROP.TXT,mortgage_addr_line3,,"Mortgage Company Address Line 3"
PROP.TXT,mortgage_addr_city,,"Mortgage Company Address City"
PROP.TXT,mortgage_addr_state,,"Mortgage Company Address State"
PROP.TXT,mortgage_addr_country,,"Mortgage Company Address Country"
PROP.TXT,mortgage_addr_zip,,"Mortgage Company Address Zip (Zip Only)"
PROP.TXT,mortgage_addr_zip_cass,,"Mortgage Company Address Zip Cass (Cass Only)"
PROP.TXT,mortgage_addr_zip_rt,,"Mortgage Company Address Zip Route (Route Only)"
PROP.TXT,mortgage_addr_ml_deliverable,,"Mortgage Company Address  Y = deliverable address  N = undeliverable address"
PROP.TXT,sic_code,,"SIC Code (new position in file due to change in length from 5 to 10)"
PROP.TXT,omitted_property_flag,,"Omitted Property  Y = Omitted   N = Not omitted"
PROP.TXT,hs_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,hs_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,ov65s_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,ov65s_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dp_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dp_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv1_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv1_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv1s_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv1s_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv2_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv2_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv2s_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv2s_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv3_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv3_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv3s_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv3s_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv4_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv4_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dv4s_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dv4s_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,lve_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,lve_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,ab_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,ab_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,en_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,en_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,fr_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,fr_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,ht_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,ht_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,pro_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,pro_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,pc_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,pc_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,so_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,so_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,ex366_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,ex366_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,ch_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,ch_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,dps_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,dps_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,eco_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,eco_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,chodo_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,chodo_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,lih_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,lih_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,git_prorate_begin,,"date the exemption began - used for proration"
PROP.TXT,git_prorate_end,,"date the exemption ended - used for proration"
PROP.TXT,clt_exempt,,"Exemption for community land trust ('T' or 'F')"
PROP.TXT,clt_prorate_begin,,"date the exemption began – used for proration"
PROP.TXT,clt_prorate_end,,"date the exemption ended – used for proration"
PROP.TXT,clt_qualify_yr,,"Qualify Year for CLT exemption"
PROP.TXT,dvhss_exempt,,"Exemption for DVHS Surviving Spouse ('T' or 'F')"
PROP.TXT,dvhss_prorate_begin,,"date the exemption began – used for proration"
PROP.TXT,dvhss_prorate_end,,"date the exemption ended – used for proration"
PROP.TXT,dvhss_qualify_yr,,"Qualify Year for DVHS Surviving Spouse exemption"
PROP.TXT,omitted_imprv_hstd_val,,"Omitted Improvement Homestead Value"
PROP.TXT,omitted_imprv_non_hstd_val,,"Omitted Improvement Non-Homestead Value"
PROP.TXT,dvhs_prorate_begin,,"date the exemption began – used for proration"
PROP.TXT,dvhs_prorate_end,,"date the exemption ended – used for proration"
PROP.TXT,ex_xd_exempt,,"EX-XD 11.181 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xd_qualify_yr,,"Qualify Year for EX-XD 11.181 exemption"
PROP.TXT,ex_xd_prorate_begin,,"Proration begin date for EX-XD 11.181 exemption"
PROP.TXT,ex_xd_prorate_end,,"Proration end date for EX-XD 11.181 exemption"
PROP.TXT,ex_xf_exempt,,"EX-XF 11.183 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xf_qualify_yr,,"Qualify Year for EX-XF 11.183 exemption"
PROP.TXT,ex_xf_prorate_begin,,"Proration begin date for EX-XF 11.183 exemption"
PROP.TXT,ex_xf_prorate_end,,"Proration end date for EX-XF 11.183 exemption"
PROP.TXT,ex_xg_exempt,,"EX-XG 11.184 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xg_qualify_yr,,"Qualify Year for EX-XG 11.184 exemption"
PROP.TXT,ex_xg_prorate_begin,,"Proration begin date for EX-XG 11.184 exemption"
PROP.TXT,ex_xg_prorate_end,,"Proration end date for EX-XG 11.184 exemption"
PROP.TXT,ex_xh_exempt,,"EX-XH 11.185 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xh_qualify_yr,,"Qualify Year for EX-XH 11.185 exemption"
PROP.TXT,ex_xh_prorate_begin,,"Proration begin date for EX-XH 11.185 exemption"
PROP.TXT,ex_xh_prorate_end,,"Proration end date for EX-XH 11.185 exemption"
PROP.TXT,ex_xi_exempt,,"EX-XI 11.19 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xi_qualify_yr,,"Qualify Year forEX-XI 11.19 exemption"
PROP.TXT,ex_xi_prorate_begin,,"Proration begin date for EX-XI 11.19 exemption"
PROP.TXT,ex_xi_prorate_end,,"Proration end date for EX-XI 11.19 exemption"
PROP.TXT,ex_xj_exempt,,"EX-XJ 11.21 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xj_qualify_yr,,"Qualify Year for EX-XJ 11.21 exemption"
PROP.TXT,ex_xj_prorate_begin,,"Proration begin date for EX-XJ 11.21 exemption"
PROP.TXT,ex_xj_prorate_end,,"Proration end date for EX-XJ 11.21 exemption"
PROP.TXT,ex_xl_exempt,,"EX-XL 11.231 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xl_qualify_yr,,"Qualify Year for EX-XL 11.231 exemption"
PROP.TXT,ex_xl_prorate_begin,,"Proration begin date for EX-XL 11.231 exemption"
PROP.TXT,ex_xl_prorate_end,,"Proration end date for EX-XL 11.231 exemption"
PROP.TXT,ex_xm_exempt,,"EX-XM 11.25 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xm_qualify_yr,,"Qualify Year for EX-XM 11.25 exemption"
PROP.TXT,ex_xm_prorate_begin,,"Proration begin date for EX-XM 11.25 exemption"
PROP.TXT,ex_xm_prorate_end,,"Proration end date for EX-XM 11.25 exemption"
PROP.TXT,ex_xn_exempt,,"EX-XN 11.252 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xn_qualify_yr,,"Qualify Year for EX-XN 11.252 exemption"
PROP.TXT,ex_xn_prorate_begin,,"Proration begin date for EX-XN 11.252 exemption"
PROP.TXT,ex_xn_prorate_end,,"Proration end date for EX-XN 11.252 exemption"
PROP.TXT,ex_xo_exempt,,"EX-XO 11.254 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xo_qualify_yr,,"Qualify Year for EX-XO 11.254 exemption"
PROP.TXT,ex_xo_prorate_begin,,"Proration begin date for EX-XO 11.254 exemption"
PROP.TXT,ex_xo_prorate_end,,"Proration end date for EX-XO 11.254 exemption"
