hud_area_code,hud_areaname,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4
METRO17860M29089,"Howard County, MO HUD Metro FMR Area",585,628,827,1089,1297
METRO17900M17900,"Columbia, SC HUD Metro FMR Area",1021,1077,1216,1558,1864
METRO17900N45055,"Kershaw County, SC HUD Metro FMR Area",828,835,956,1264,1525
METRO17980M13259,"Stewart County, GA HUD Metro FMR Area",638,642,845,1028,1214
METRO17980M13263,"Talbot County, GA HUD Metro FMR Area",826,889,1026,1348,1748
METRO17980M17980,"Columbus, GA-AL HUD Metro FMR Area",820,884,1020,1377,1737
METRO18020M18020,"Columbus, IN MSA",969,991,1119,1480,1634
METRO18140M18140,"Columbus, OH HUD Metro FMR Area",904,1010,1249,1532,1694
METRO18140N39073,"Hocking County, OH HUD Metro FMR Area",643,648,848,1190,1194
METRO18140N39127,"Perry County, OH HUD Metro FMR Area",620,650,856,1054,1150
METRO18140N39159,"Union County, OH HUD Metro FMR Area",920,964,1269,1544,1705
METRO18580M18580,"Corpus Christi, TX MSA",1015,1104,1348,1760,2059
METRO18700M18700,"Corvallis, OR MSA",1184,1239,1530,2174,2578
METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area",1146,1220,1423,1898,2424
METRO18880N12131,"Walton County, FL HUD Metro FMR Area",998,1131,1278,1673,1952
METRO19060M19060,"Cumberland, MD-WV MSA",587,699,878,1124,1421
METRO19100M19100,"Dallas, TX HUD Metro FMR Area",1367,1440,1699,2141,2792
METRO19100MM2800,"Fort Worth-Arlington, TX HUD Metro FMR Area",1183,1327,1565,2071,2564
METRO19100N48497,"Wise County, TX HUD Metro FMR Area",986,1008,1138,1616,1646
METRO19140M19140,"Dalton, GA HUD Metro FMR Area",622,691,910,1201,1224
METRO19140N13213,"Murray County, GA HUD Metro FMR Area",597,653,859,1157,1429
METRO19180M19180,"Danville, IL MSA",682,705,928,1176,1247
METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",1018,1021,1328,1689,2171
METRO19340M19340,"Davenport-Moline-Rock Island, IA-IL MSA",643,778,962,1266,1437
METRO19430M19430,"Dayton-Kettering, OH MSA",731,809,1036,1359,1480
METRO19460M19460,"Decatur, AL MSA",649,679,829,1082,1200
METRO19500M19500,"Decatur, IL MSA",634,741,908,1264,1344
METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area",935,1141,1398,1843,1903
METRO19660M37380,"Palm Coast, FL HUD Metro FMR Area",1002,1191,1498,1981,2305
METRO19740M19740,"Denver-Aurora-Lakewood, CO MSA",1505,1665,2009,2650,2976
METRO19780M19099,"Jasper County, IA HUD Metro FMR Area",644,663,873,1211,1294
METRO19780M19780,"Des Moines-West Des Moines, IA HUD Metro FMR Area",844,949,1147,1573,1601
METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",909,1024,1304,1624,1752
METRO19820MM0440,"Livingston County, MI HUD Metro FMR Area",894,1133,1337,1811,2002
METRO20020M20020,"Dothan, AL HUD Metro FMR Area",662,666,814,1085,1237
METRO20020N01067,"Henry County, AL HUD Metro FMR Area",589,593,781,1039,1049
METRO20100M20100,"Dover, DE MSA",1049,1055,1267,1801,2029
METRO20220M20220,"Dubuque, IA MSA",661,751,988,1317,1683
METRO20260M20260,"Duluth, MN-WI HUD Metro FMR Area",837,899,1167,1541,1921
METRO20260M27075,"Lake County, MN HUD Metro FMR Area",758,874,1056,1394,1736
METRO20500M20500,"Durham-Chapel Hill, NC HUD Metro FMR Area",1217,1224,1419,1801,2192
METRO20500M37077,"Granville County, NC HUD Metro FMR Area",931,936,1089,1418,1669
METRO20500N37145,"Person County, NC HUD Metro FMR Area",671,675,889,1221,1225
METRO20700M20700,"East Stroudsburg, PA MSA",1066,1073,1413,1943,2303
METRO20740M20740,"Eau Claire, WI MSA",679,760,971,1322,1516
METRO20940M20940,"El Centro, CA MSA",824,964,1232,1713,2082
METRO21060M21060,"Elizabethtown, KY HUD Metro FMR Area",694,699,908,1244,1547
METRO21060N21163,"Meade County, KY HUD Metro FMR Area",685,689,907,1289,1545
METRO21140M21140,"Elkhart-Goshen, IN MSA",776,813,1042,1333,1400
METRO21300M21300,"Elmira, NY MSA",870,873,1120,1437,1597
METRO21340M21340,"El Paso, TX HUD Metro FMR Area",721,884,1048,1460,1785
METRO21340N48229,"Hudspeth County, TX HUD Metro FMR Area",642,787,934,1137,1591
METRO21420M21420,"Enid, OK MSA",705,723,952,1235,1279
METRO21500M21500,"Erie, PA MSA",766,796,1031,1279,1417
METRO21660M21660,"Eugene-Springfield, OR MSA",953,1083,1425,2025,2427
METRO21780M21780,"Evansville, IN-KY MSA",733,825,1032,1336,1550
METRO21820M21820,"Fairbanks, AK MSA",1060,1204,1585,2253,2700
METRO22020M22020,"Fargo, ND-MN MSA",673,794,966,1373,1645
METRO22140M22140,"Farmington, NM MSA",793,806,953,1338,1458
METRO22180M22180,"Fayetteville, NC HUD Metro FMR Area",959,959,1107,1521,1886
METRO22180M37085,"Harnett County, NC HUD Metro FMR Area",777,782,1029,1462,1753
METRO22180N37093,"Hoke County, NC HUD Metro FMR Area",722,727,957,1360,1630
METRO22220M22220,"Fayetteville-Springdale-Rogers, AR MSA",776,824,1002,1424,1705
METRO22380M22380,"Flagstaff, AZ MSA",1358,1447,1787,2184,2641
METRO22420M22420,"Flint, MI MSA",679,783,986,1231,1333
METRO22500M22500,"Florence, SC HUD Metro FMR Area",742,747,982,1242,1321
METRO22500N45031,"Darlington County, SC HUD Metro FMR Area",722,727,877,1111,1274
METRO22520M22520,"Florence-Muscle Shoals, AL MSA",611,656,863,1064,1329
METRO22540M22540,"Fond du Lac, WI MSA",711,772,991,1313,1331
METRO22660M22660,"Fort Collins, CO MSA",1308,1332,1664,2365,2670
METRO22900M05047,"Franklin County, AR HUD Metro FMR Area",619,626,767,945,1306
METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",644,648,853,1179,1359
METRO23060M23060,"Fort Wayne, IN MSA",700,790,969,1235,1346
METRO23420M23420,"Fresno, CA MSA",1053,1060,1337,1883,2156
METRO23460M23460,"Gadsden, AL MSA",554,710,828,1047,1112
METRO23540M12075,"Levy County, FL HUD Metro FMR Area",662,666,877,1177,1372
METRO23540M23540,"Gainesville, FL HUD Metro FMR Area",912,1007,1211,1609,1627
METRO23580M23580,"Gainesville, GA MSA",1027,1128,1274,1615,1834
METRO23900M23900,"Gettysburg, PA MSA",788,968,1179,1566,1771
METRO24020M24020,"Glens Falls, NY MSA",838,951,1187,1540,1595
METRO24140M24140,"Goldsboro, NC MSA",752,757,997,1246,1698
METRO24220M24220,"Grand Forks, ND-MN MSA",730,750,951,1352,1620
METRO24260N31079,"Hall County, NE HUD Metro FMR Area",652,767,954,1236,1328
METRO24260N31093,"Howard County, NE HUD Metro FMR Area",611,666,877,1067,1178
METRO24260N31121,"Merrick County, NE HUD Metro FMR Area",611,666,877,1195,1214
METRO24300M24300,"Grand Junction, CO MSA",756,861,1131,1607,1926
METRO24340M24340,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",1015,1070,1289,1678,1874
METRO24340M26067,"Ionia County, MI HUD Metro FMR Area",823,829,1091,1378,1606
METRO24340M26100,"Holland-Grand Haven, MI HUD Metro FMR Area",957,1076,1215,1621,1681
METRO24340N26117,"Montcalm County, MI HUD Metro FMR Area",733,796,971,1196,1444
METRO24420M24420,"Grants Pass, OR MSA",838,951,1252,1779,1966
METRO24500M24500,"Great Falls, MT MSA",706,743,969,1370,1533
METRO24540M24540,"Greeley, CO MSA",1039,1162,1508,2143,2356
METRO24580M24580,"Green Bay, WI HUD Metro FMR Area",745,804,1015,1358,1364
METRO24580N55083,"Oconto County, WI HUD Metro FMR Area",646,711,877,1128,1178
METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",953,981,1108,1428,1602
METRO24660N37157,"Rockingham County, NC HUD Metro FMR Area",582,674,870,1123,1331
METRO24780M24780,"Greenville, NC MSA",866,872,1081,1469,1841
METRO24860M11340,"Anderson, SC HUD Metro FMR Area",733,756,950,1196,1618
METRO24860M24860,"Greenville-Mauldin-Easley, SC HUD Metro FMR Area",935,1007,1137,1454,1761
METRO24860N45059,"Laurens County, SC HUD Metro FMR Area",705,710,934,1142,1255
METRO25020M25020,"Guayama, PR MSA",426,429,497,665,668
METRO25060M25060,"Gulfport-Biloxi, MS HUD Metro FMR Area",749,826,1000,1359,1477
METRO25060M28131,"Stone County, MS HUD Metro FMR Area",603,619,815,1158,1229
METRO25060M37700,"Pascagoula, MS HUD Metro FMR Area",690,844,964,1291,1642
METRO25180M54065,"Morgan County, WV HUD Metro FMR Area",609,807,911,1295,1306
METRO25180MM0877,"Martinsburg, WV HUD Metro FMR Area",942,947,1182,1592,2013
METRO25180MM3180,"Hagerstown, MD HUD Metro FMR Area",750,866,1122,1595,1777
METRO25220M25220,"Hammond, LA MSA",816,821,1049,1277,1409
METRO25260M25260,"Hanford-Corcoran, CA MSA",1095,1102,1368,1944,2222
METRO25420M25420,"Harrisburg-Carlisle, PA MSA",911,1049,1321,1689,1775
METRO25500M25500,"Harrisonburg, VA MSA",825,830,1093,1453,1862
METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",1068,1287,1598,1945,2373
METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",1142,1314,1708,2427,2909
METRO25620M25620,"Hattiesburg, MS HUD Metro FMR Area",714,849,1027,1312,1454
METRO25620M28031,"Covington County, MS HUD Metro FMR Area",554,677,815,1158,1163
METRO25860M25860,"Hickory-Lenoir-Morganton, NC MSA",688,692,843,1101,1256
METRO25940N45013,"Beaufort County, SC HUD Metro FMR Area",1379,1410,1592,1998,2611
METRO25940N45053,"Jasper County, SC HUD Metro FMR Area",1021,1044,1179,1645,1952
METRO25980M25980,"Hinesville, GA HUD Metro FMR Area",1003,1025,1158,1646,1972
METRO25980N13183,"Long County, GA HUD Metro FMR Area",749,766,865,1222,1473
METRO26140M26140,"Homosassa Springs, FL MSA",782,797,1049,1451,1787
METRO26300M26300,"Hot Springs, AR MSA",683,711,929,1150,1505
METRO26380M26380,"Houma-Thibodaux, LA MSA",689,819,1030,1329,1499
METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",1144,1216,1452,1913,2473
METRO26420MM1145,"Brazoria County, TX HUD Metro FMR Area",904,1197,1352,1742,2303
METRO26420N48015,"Austin County, TX HUD Metro FMR Area",714,924,1068,1518,1819
METRO26580M21043,"Carter County, KY HUD Metro FMR Area",603,607,799,1069,1073
METRO26580M26580,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",693,755,887,1179,1335
METRO26580M54079,"Putnam County, WV HUD Metro FMR Area",806,811,1046,1391,1619
METRO26620M26620,"Huntsville, AL MSA",796,941,1111,1462,1740
METRO26820M26820,"Idaho Falls, ID HUD Metro FMR Area",699,830,1021,1451,1739
METRO26820N16023,"Butte County, ID HUD Metro FMR Area",635,759,934,1324,1591
METRO26900M11300,"Anderson, IN HUD Metro FMR Area",676,738,962,1229,1292
METRO26900M26900,"Indianapolis-Carmel, IN HUD Metro FMR Area",822,956,1135,1489,1781
METRO26900N18133,"Putnam County, IN HUD Metro FMR Area",693,723,942,1299,1473
METRO26980MM3500,"Iowa City, IA HUD Metro FMR Area",874,996,1217,1730,2073
METRO26980N19183,"Washington County, IA HUD Metro FMR Area",618,702,924,1161,1334
METRO27060M27060,"Ithaca, NY MSA",1308,1406,1639,2084,2202
METRO27100M27100,"Jackson, MI MSA",723,878,1038,1380,1568
METRO27140M27140,"Jackson, MS HUD Metro FMR Area",969,983,1147,1396,1585
METRO27140M28051,"Holmes County, MS HUD Metro FMR Area",636,699,815,1081,1096
METRO27140N28127,"Simpson County, MS HUD Metro FMR Area",560,725,837,1156,1426
METRO27140N28163,"Yazoo County, MS HUD Metro FMR Area",691,695,889,1082,1194
METRO27180M27180,"Jackson, TN HUD Metro FMR Area",666,757,996,1349,1354
METRO27180M47053,"Gibson County, TN HUD Metro FMR Area",594,646,798,1112,1359
METRO27180N47033,"Crockett County, TN HUD Metro FMR Area",644,658,866,1087,1465
METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",1035,1195,1413,1817,2302
METRO27260N12003,"Baker County, FL HUD Metro FMR Area",685,713,938,1253,1598
METRO27340M27340,"Jacksonville, NC MSA",710,850,1012,1438,1724
METRO27500M27500,"Janesville-Beloit, WI MSA",789,816,1074,1436,1514
METRO27620M27620,"Jefferson City, MO HUD Metro FMR Area",650,654,801,1138,1139
METRO27620N29027,"Callaway County, MO HUD Metro FMR Area",692,697,917,1116,1401
METRO27620N29135,"Moniteau County, MO HUD Metro FMR Area",593,597,786,1002,1142
METRO27740M27740,"Johnson City, TN MSA",762,788,952,1205,1413
METRO27780M27780,"Johnstown, PA MSA",679,684,875,1124,1275
METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",595,704,890,1153,1516
METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",583,587,773,957,1038
METRO27900M27900,"Joplin, MO MSA",647,688,863,1095,1216
METRO27980M27980,"Kahului-Wailuku-Lahaina, HI MSA",1681,1761,2178,2995,3229
METRO28020M28020,"Kalamazoo-Portage, MI MSA",782,913,1120,1475,1608
METRO28100M28100,"Kankakee, IL MSA",763,867,1141,1554,1644
METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",956,1082,1257,1652,1918
METRO28140N29013,"Bates County, MO HUD Metro FMR Area",641,646,850,1108,1399
METRO28420M28420,"Kennewick-Richland, WA MSA",859,1012,1257,1664,2065
METRO28660M28660,"Killeen-Temple, TX HUD Metro FMR Area",798,804,1020,1450,1737
METRO28660N48281,"Lampasas County, TX HUD Metro FMR Area",721,726,956,1348,1628
METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",616,663,838,1100,1236
METRO28740M28740,"Kingston, NY MSA",1174,1245,1615,2114,2355
METRO28940M28940,"Knoxville, TN HUD Metro FMR Area",955,1024,1244,1621,1908
METRO28940N47013,"Campbell County, TN HUD Metro FMR Area",598,680,895,1202,1226
METRO28940N47129,"Morgan County, TN HUD Metro FMR Area",650,654,861,1195,1200
METRO28940N47145,"Roane County, TN HUD Metro FMR Area",770,832,1006,1307,1714
METRO29020M29020,"Kokomo, IN MSA",715,748,919,1251,1376
METRO29100M29100,"La Crosse-Onalaska, WI-MN MSA",722,843,1080,1486,1840
METRO29180M29180,"Lafayette, LA HUD Metro FMR Area",702,930,1050,1377,1782
METRO29180N22001,"Acadia Parish, LA HUD Metro FMR Area",557,633,833,1100,1198
METRO29180N22045,"Iberia Parish, LA HUD Metro FMR Area",740,745,980,1247,1531
METRO29180N22113,"Vermilion Parish, LA HUD Metro FMR Area",607,754,852,1087,1145
METRO29200M18171,"Warren County, IN HUD Metro FMR Area",714,730,961,1359,1637
METRO29200M29140,"Lafayette-West Lafayette, IN HUD Metro FMR Area",845,975,1139,1407,1766
METRO29200N18015,"Carroll County, IN HUD Metro FMR Area",679,684,900,1110,1209
METRO29340M29340,"Lake Charles, LA MSA",820,833,1067,1341,1435
METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",746,871,1109,1544,1731
METRO29460M29460,"Lakeland-Winter Haven, FL MSA",1004,1010,1249,1689,2127
METRO29540M29540,"Lancaster, PA MSA",963,1105,1387,1759,1863
METRO29620M26155,"Shiawassee County, MI HUD Metro FMR Area",695,700,921,1247,1301
METRO29620M29620,"Lansing-East Lansing, MI HUD Metro FMR Area",891,925,1132,1464,1521
METRO29700M29700,"Laredo, TX MSA",835,841,1050,1347,1456
METRO29740M29740,"Las Cruces, NM MSA",761,821,950,1350,1552
METRO29820M29820,"Las Vegas-Henderson-Paradise, NV MSA",1129,1309,1573,2236,2660
METRO29940M29940,"Lawrence, KS MSA",811,900,1105,1570,1866
METRO30020M30020,"Lawton, OK HUD Metro FMR Area",672,677,877,1246,1494
METRO30020N40033,"Cotton County, OK HUD Metro FMR Area",655,659,853,1116,1146
METRO30140M30140,"Lebanon, PA MSA",840,887,1154,1460,1550
METRO30300M30300,"Lewiston, ID-WA MSA",709,826,1061,1508,1807
